feature_short,feature,support,lift
initially_payable_to_institution_3,initially_payable_to_institution_3,0.023778484177441245,-0.7963068790627902
debt_to_income_ratio_ord_65,debt_to_income_ratio_ord_65,0.05455746839059933,-0.710545831599615
manufactured_home_secured_property_type_2,manufactured_home_secured_property_type_2,0.023064147439102792,-0.5152383540918262
hoepa_status_3,hoepa_status_3,0.292815558254161,-0.49194314289958463
derived_dwelling_category_Singl…ts):Manufactured,derived_dwelling_category_Single Family (1-4 Units):Manufactured,0.035672190870776485,-0.422339419738635
construction_method_2,construction_method_2,0.03569004928923494,-0.4220261685298905
manufactured_home_secured_property_type_1,manufactured_home_secured_property_type_1,0.011875848274876777,-0.2654798113936172
open-end_line_of_credit_1,open-end_line_of_credit_1,0.10221265804700336,-0.24821567612752327
lien_status_2,lien_status_2,0.12289270662190156,-0.23320290463860938
loan_product_grouped_Subordinate_Lien,loan_product_grouped_Subordinate_Lien,0.12289270662190156,-0.23320290463860938
debt_to_income_ratio_ord_55,debt_to_income_ratio_ord_55,0.07254982498749911,-0.20799918675509788
interest_only_payment_1,interest_only_payment_1,0.07042467319094221,-0.0865312989943231
derived_ethnicity_Hispanic or Latino,derived_ethnicity_Hispanic or Latino,0.19771055075362526,-0.06538826285829191
covid_phase_Post-Pandemic,covid_phase_Post-Pandemic,0.3231212943781699,-0.05648318547116893
applicant_race_observed_1,applicant_race_observed_1,0.01774233873848132,-0.053981765826755956
debt_to_income_ratio_ord_42,debt_to_income_ratio_ord_42,0.03685084648903493,0.07599745822822024
co-applicant_race_observed_3,co-applicant_race_observed_3,0.03390420744338881,0.07675079805072049
debt_to_income_ratio_ord_43,debt_to_income_ratio_ord_43,0.03356489749267805,0.07732972641739067
debt_to_income_ratio_ord_38,debt_to_income_ratio_ord_38,0.03032359454246732,0.07884035297490122
co-applicant_sex_observed_3,co-applicant_sex_observed_3,0.03444888920637188,0.08134993794083867
debt_to_income_ratio_ord_25,debt_to_income_ratio_ord_25,0.14608186299021358,0.08303297423794331
debt_to_income_ratio_ord_37,debt_to_income_ratio_ord_37,0.028466319022787342,0.08637818994599278
debt_to_income_ratio_ord_44,debt_to_income_ratio_ord_44,0.04005643260232874,0.08733110577893965
debt_to_income_ratio_ord_33,debt_to_income_ratio_ord_33,0.13786699049932138,0.08827861316518903
debt_to_income_ratio_ord_41,debt_to_income_ratio_ord_41,0.03333273805271805,0.08850426478933948
aus_grouped_Standard_AUS,aus_grouped_Standard_AUS,0.6374205300378598,0.0929851389799633
debt_to_income_ratio_ord_40,debt_to_income_ratio_ord_40,0.03170762197299807,0.094428125161372
debt_to_income_ratio_ord_36,debt_to_income_ratio_ord_36,0.026626901921565825,0.09504120946839689
initially_payable_to_institution_2,initially_payable_to_institution_2,0.061531180798628474,0.10515880080950701
hoepa_status_2,hoepa_status_2,0.7065058218444175,0.20369312093720982
